Model,Dataset,RMSE,R2
Linear Regression,house,27334.9620521368,0.7963525051088871
Linear Regression,energy,99.76386010355604,0.1718669001959578
XGBoost (Default),house,23833.44205103409,0.8451840877532959
XGBoost (Default),energy,74.79461134813624,0.5345271825790405
XGBoost (Tuned),house,21837.63357142893,0.8700269460678101
XGBoost (Tuned),energy,68.61094958054254,0.6083117723464966
TabNet,house,152731.31021503088,-5.357673645019531
TabNet,energy,82.18070611178301,0.4380555152893066
FT-Transformer,house,177171.8081411374,-7.555222511291504
FT-Transformer,energy,95.44302538032834,0.242047369480133
